Rider,Points,Points Back,Events,Outs,Rides,Buckoffs,prop.Ridden,Avg Ride Score,Highest RideScore,Avg Buckoff Time,Round Wins,Event Wins,ReRides Taken,Earnings,90Pt Rides
Josh Frost,288,NA,3,7,7,0,100,84.79,88,0,3,2,0,26591,0
Alex Cerqueira,176,112,10,15,9,6,60,83.33,87.5,5.02,1,1,0,10123,0
João Ricardo Vieira,165,123,8,14,8,6,57.14,84.38,86.5,5.5,2,1,1,10209,0
Alvaro Ariel,161,127,11,18,6,12,33.33,85.08,88,3.42,2,1,0,12990,0
Cole Fischer,140,148,1,3,3,0,100,85.83,90,0,2,1,0,16333,1
Ednélio Almeida,120,168,3,6,4,2,66.67,85,88,3.72,1,0,0,5877,0
Cassio Dias,113.5,174.5,7,13,5,8,38.46,85.9,89.5,4.68,2,1,1,7216,0
Taylor Allen,109,179,2,3,2,1,66.67,86.5,87,6.79,1,1,0,6320,0
Dawson Branton,106,182,7,12,6,6,50,81.08,87,4.57,1,0,2,8980,0
Elizmar Jeremias,106,182,11,20,6,14,30,85.08,87,4.22,0,0,1,6681,0
Garrett Jones,100,188,6,12,5,7,41.67,84,88,4.65,2,1,0,5705,0
Brennon Eldred,99.5,188.5,1,2,2,0,100,86.5,87.5,0,0,1,0,6154,0
Jake Morinec,82.5,205.5,2,4,3,1,75,85.67,88,2.23,2,1,0,7790,0
Wingson Henrique da Silva,78.5,209.5,5,8,4,4,50,83.75,87.5,3.7,1,1,0,3532,0
Wyatt Rogers,74.5,213.5,5,8,4,4,50,84.63,87.5,5.43,2,0,0,4695,0
Justin Houston,73,215,1,2,1,1,50,87,87,4.94,1,0,0,8339,0
Colton Burkard,71.5,216.5,3,5,3,2,60,84,86,3.25,0,1,1,4248,0
Rubens Barbosa,70,218,4,6,3,3,50,85,87.5,3.98,2,1,1,10000,0
Elijah Mora,69,219,6,10,4,6,40,84.38,87.5,3.23,1,0,1,4099,0
Cody Hooks,69,219,3,5,2,3,40,81,85,2.7,0,0,0,3433,0
Cole Skender,68.5,219.5,6,10,6,4,60,83.17,85.5,5,0,0,0,689,0
Guilherme Valleiras,65.5,222.5,5,7,3,4,42.86,84.33,87.5,2.73,0,1,0,4427,0
Kade Madsen,63,225,2,4,2,2,50,88.5,90.5,4.71,2,1,0,10000,1
J.T. Moore,62,226,4,6,2,4,33.33,87.5,88.5,3.81,2,1,0,4716,0
Junio Quaresima,61,227,6,9,4,5,44.44,83,85.5,2.8,0,0,1,1333,0
Deklan Garland,60.5,227.5,2,3,2,1,66.67,86.5,87.5,7.13,2,1,0,4071,0
Kyle Jones,60.5,227.5,3,4,2,2,50,87.25,89,3.84,2,1,0,5700,0
Braidy Randolph,59,229,2,3,3,0,100,86,88,0,1,0,0,3515,0
JC Mortensen,59,229,2,3,2,1,66.67,84.25,86.5,0.96,1,1,0,6430,0
Austin Richardson,59,229,1,2,2,0,100,87.5,88,0,1,1,0,3302,0
Vitor Losnake,58.5,229.5,6,9,3,6,33.33,86.17,87.5,3.4,0,0,0,3630,0
Dustin Martinez,56,232,5,9,2,7,22.22,83.5,85.5,4.64,0,0,1,4595,0
Koal Livingston,55,233,2,4,3,1,75,82.67,85,2.28,0,0,0,3009,0
Ray Mayo,55,233,1,2,2,0,100,84.5,85,0,0,1,0,3851,0
Qynn Andersen,54,234,5,9,3,6,33.33,62.38,87,4.5,0,0,0,3293,0
Sandro Batista,54,234,5,7,3,4,42.86,80.67,87.5,3.36,1,0,1,3151,0
Jate Frost,53.5,234.5,6,10,2,8,20,85,87,4.08,1,1,3,3641,0
Braden Richardson,53,235,4,5,1,4,20,83.5,83.5,3.94,0,0,1,4913,0
Evan Betony,47,241,1,2,2,0,100,80,84.5,0,1,1,0,4440,0
Sawyer Hill,46,242,3,5,1,4,20,88.5,88.5,3.2,1,1,0,4372,0
Leandro Machado,46,242,2,3,1,2,33.33,84,84,3.44,1,1,0,4324,0
Kade Alberty,45,243,1,2,1,1,50,87,87,3.01,1,0,0,2733,0
Brandon Chambers,45,243,1,2,2,0,100,86.25,87.5,0,0,0,0,4088,0
Dalton Rudman,44,244,2,4,1,3,25,88,88,4.69,1,0,0,2533,0
Rooster McKeeman,44,244,1,3,2,1,66.67,83.25,85,4.87,0,0,0,2887,0
Chason Brookshire,41.5,246.5,1,2,2,0,100,84.5,85,0,0,0,0,931,0
Marco Juarez,41,247,2,3,2,1,66.67,79.75,85.5,2.82,1,0,0,4107,0
Leonardo Lima,40,248,9,12,2,10,16.67,79.75,82.5,4.33,1,0,0,5351,0
Weston Hartman,39.5,248.5,6,9,1,8,11.11,87,87,4.26,1,1,0,3295,0
Mike Lee,38,250,7,10,3,7,30,84.5,86.5,3.04,0,0,1,1149,0
Afonso Quintino,38,250,7,11,3,8,27.27,83.5,84.5,5.88,0,0,0,832,0
Dakota Eagleburger,37,251,4,7,3,4,42.86,82.5,85,4.23,0,0,0,155,0
Chase Dougherty,36.5,251.5,5,8,2,6,25,83.5,87.5,4.62,1,0,1,1931,0
Lucas Divino,36,252,1,2,1,1,50,87,87,6.57,1,0,1,2593,0
Kyle Eaton,36,252,3,5,1,4,20,87.5,87.5,4.58,1,0,0,2649,0
Colton Dougherty,35.5,252.5,4,5,2,3,40,79.5,82,2.8,0,0,0,4180,0
Marshall Adkins,35,253,4,7,3,4,42.86,81.83,85,4.24,0,0,0,952,0
Hunter Ball,34.5,253.5,3,5,2,3,40,85.5,86,4.38,0,0,0,998,0
Adriano Salgado,34,254,1,2,2,0,100,85.5,85.5,0,0,0,0,2167,0
Mason Moody,33,255,4,5,1,4,20,87,87,2.27,0,0,0,2740,0
Marcelo Procopio Pereira,33,255,4,5,1,4,20,87.5,87.5,4.03,0,0,1,3202,0
Nathan Hatchel,33,255,2,3,1,2,33.33,86,86,5.24,0,0,0,3968,0
Casey Coulter,32,256,1,2,2,0,100,84.5,84.5,0,0,0,0,2474,0
João Augusto Cezere,31,257,6,10,2,8,20,82.5,84.5,3.86,0,0,2,1101,0
Keith Hall,28,260,8,12,2,10,16.67,83.75,85,3.12,0,0,1,1344,0
Wyatt Covington,28,260,2,3,1,2,33.33,78,78,4.98,0,0,1,1933,0
Davi Henrique de Lima,26,262,9,14,1,13,7.14,89.5,89.5,4.78,1,0,0,2087,0
Douglas Lino de Souza,26,262,5,9,1,8,11.11,88,88,3.49,1,0,0,1626,0
Trevor Taghon,26,262,2,4,1,3,25,86,86,3.17,1,0,0,1955,0
Jake Roddy,26,262,1,2,1,1,50,88.5,88.5,3.26,1,0,0,1545,0
Tyler Manor,25,263,2,4,2,2,50,78.5,86,1.99,0,0,0,2302,0
João Henrique Lucas,24.5,263.5,2,4,2,2,50,82.5,83.5,3.29,0,0,0,552,0
Jaxton Mortensen,23,265,6,8,1,7,12.5,83.5,83.5,4.18,1,0,1,2388,0
Hunter Kelly,23,265,4,5,1,4,20,83.5,83.5,2.87,0,0,0,2076,0
Trent Nugent,23,265,2,3,1,2,33.33,85.5,85.5,3.59,1,0,0,2784,0
Ednei Caminhas,22,266,3,4,1,3,25,87,87,4.02,0,0,0,2032,0
Dakota Hill,21.5,266.5,1,2,1,1,50,86,86,2.07,0,0,0,1676,0
Trace Brown,20,268,8,11,1,10,9.09,86.5,86.5,3.46,0,0,0,1370,0
Patterson Starcher,20,268,1,2,1,1,50,87.5,87.5,3.96,0,0,0,1836,0
Felipe Ruberti,20,268,3,6,2,4,33.33,84,84,5.24,0,0,0,0,0
Marcus Mast,20,268,2,3,1,2,33.33,86.5,86.5,5.24,0,0,0,1370,0
Flavio Zivieri,20,268,2,3,1,2,33.33,86.5,86.5,2.96,0,0,1,1381,0
Levi Gray,20,268,2,3,1,2,33.33,86,86,3.54,0,0,0,1308,0
Emilio Resende,20,268,1,2,1,1,50,86.5,86.5,3.58,0,0,0,1381,0
Vitor de Mello,19,269,5,7,1,6,14.29,42.75,85.5,2.97,0,0,0,944,0
Bill Henry,18,270,2,4,2,2,50,73.75,86,3.41,0,0,0,768,0
Conner Halverson,18,270,3,4,1,3,25,79,79,2.91,0,0,0,1728,0
Dawson Gleaves,18,270,1,2,1,1,50,84.5,84.5,5.25,0,0,0,1275,0
Renan Almeida,17,271,3,6,1,5,16.67,82,82,3.8,0,0,0,720,0
Dakota Slade,17,271,1,3,1,2,33.33,83,83,2.03,0,0,0,851,0
Bryan Green,17,271,1,3,1,2,33.33,83,83,1.94,0,0,0,1138,0
Jacauy Hale,16.5,271.5,1,2,1,1,50,82,82,4.61,0,0,0,1185,0
Albert Lebaron,16,272,3,4,1,3,25,82,82,2.53,0,0,1,659,0
Dantey Eldridge,16,272,2,3,1,2,33.33,84,84,4.59,0,0,0,721,0
Dustin Herman,15,273,7,10,1,9,10,84,84,3.89,0,0,1,752,0
Laramie Craigen,15,273,3,5,1,4,20,82,82,4.34,0,0,0,552,0
Jeffrey Ramagos,15,273,2,5,1,4,20,82,82,4.24,0,0,0,552,0
Kaiden Loud,15,273,1,2,1,1,50,83,83,4.58,0,0,0,576,0
Bobby Welch III,14,274,6,8,1,7,12.5,84,84,2.57,0,0,0,354,0
Jaquez Antonio,14,274,5,8,1,7,12.5,79.5,79.5,4.68,0,0,0,644,0
Dugan Black,14,274,4,5,1,4,20,80,80,2.68,0,0,0,514,0
Brandon Ballard,14,274,1,2,1,1,50,84,84,4.22,0,0,1,525,0
Alex Koberstein,14,274,4,7,1,6,14.29,79.5,79.5,3.06,0,0,0,644,0
Hayden Harris,14,274,1,2,1,1,50,86,86,3.94,0,0,0,511,0
Robson Aragão,13,275,3,4,1,3,25,84,84,2.36,0,0,0,357,0
Alonson Esquivias Alcala,13,275,3,4,1,3,25,84.5,84.5,4.2,0,0,0,279,0
Lane Nobles,12,276,1,2,1,1,50,84.5,84.5,2.82,0,0,0,262,0
Ayden Dale,11.5,276.5,1,1,1,0,100,83.5,83.5,0,0,0,1,221,0
Boogie Marquez,11,277,2,3,1,2,33.33,83,83,2.69,0,0,0,175,0
Zack Heimann,11,277,2,3,1,2,33.33,82.5,82.5,2.95,0,0,0,151,0
Rodrigo Melgar,11,277,2,3,1,2,33.33,81.5,81.5,2.38,0,0,0,176,0
Wyatt Betony,11,277,1,2,1,1,50,79,79,4.71,0,0,0,386,0
Alan de Souza,11,277,1,2,1,1,50,83,83,4.16,0,0,0,175,0
Thiago Salgado,10.5,277.5,1,1,1,0,100,84,84,0,0,0,0,88,0
Jesse Petri,10,278,1,2,1,1,50,82.5,82.5,2.97,0,0,0,0,0
Perry Schrock,8,280,4,6,1,5,16.67,81,81,3.46,0,0,1,0,0
Boudreaux Campbell,7,281,2,2,1,1,50,77,77,7.5,0,0,0,0,0
Case Patterson,7,281,1,2,1,1,50,78.5,78.5,2.18,0,0,0,0,0
Edgardo Figueroa,6,282,4,5,1,4,20,79,79,2.59,0,0,1,335,0
Elijah Monnett,3,285,4,6,1,5,16.67,63,63,3.33,0,0,0,257,0
Jhonny Klesse,3,285,2,3,1,2,33.33,76.5,76.5,3.43,0,0,0,177,0
Eli Vastbinder,0,288,1,1,0,1,0,0,0,4.24,0,0,0,0,0
Manoelito de Souza Junior,0,288,2,3,0,3,0,0,0,4.28,0,0,0,0,0
Griffin Smeltzer,0,288,3,4,0,4,0,0,0,4.17,0,0,0,0,0
Briggs Madsen,0,288,2,3,0,3,0,0,0,2.96,0,0,0,0,0
Rafael Jose de Brito,0,288,2,2,0,2,0,0,0,2.72,0,0,1,0,0
Dalton Krantz,0,288,2,2,0,2,0,0,0,5.08,0,0,0,0,0
William Wright,0,288,1,1,0,1,0,0,0,2.03,0,0,0,0,0
Alisson De Souza,0,288,3,5,0,5,0,0,0,3.71,0,0,1,0,0
Robbie Taylor Jr.,0,288,2,2,0,2,0,0,0,2.7,0,0,0,0,0
Aaron Williams,0,288,3,3,1,2,33.33,80.5,80.5,3.24,0,0,0,0,0
Caleb McCaslin,0,288,1,1,0,1,0,0,0,4.18,0,0,0,0,0
Eli Necochea,0,288,1,1,1,0,100,72,72,0,0,0,1,0,0
Claudio Montanha Jr.,0,288,3,3,0,3,0,0,0,3.32,0,0,0,0,0
River Stephenson,0,288,2,2,0,2,0,0,0,3.71,0,0,0,0,0
Joseph Vazquez,0,288,2,3,0,3,0,0,0,5.81,0,0,1,0,0
Nate Hoey,0,288,1,1,0,1,0,0,0,5.65,0,0,1,0,0
Anthony Hopen,0,288,8,10,0,10,0,0,0,2.14,0,0,3,0,0
Carlos Gomes Junior,0,288,5,5,0,5,0,0,0,3.33,0,0,1,0,0
Blaine Logg,0,288,5,5,0,5,0,0,0,3.36,0,0,0,0,0
Oren Williams,0,288,4,5,0,5,0,0,0,4.37,0,0,0,0,0
Jett Lambert,0,288,3,3,0,3,0,0,0,4.47,0,0,0,0,0
Isaiah Ortiz,0,288,3,3,0,3,0,0,0,3.12,0,0,1,0,0
Chance Thomas,0,288,3,5,0,5,0,0,0,4.08,0,0,0,0,0
Hazen Casperson,0,288,2,3,0,3,0,0,0,3.62,0,0,0,0,0
Dakota Warnken,0,288,2,2,0,2,0,0,0,2.9,0,0,0,0,0
Gabriel Thiago Da Silva,0,288,2,5,0,5,0,0,0,3.43,0,0,0,0,0
Dylan Wilhide,0,288,2,2,0,2,0,0,0,2.11,0,0,0,0,0
Marco Diaz,0,288,2,3,0,3,0,0,0,4.27,0,0,2,0,0
Fernando da Conceicao,0,288,2,3,0,3,0,0,0,5.07,0,0,0,0,0
Paulo Ferreira Lima,0,288,2,2,0,2,0,0,0,3.31,0,0,0,0,0
Colby Gravier,0,288,2,3,0,3,0,0,0,3.93,0,0,0,0,0
Colt Robinson,0,288,2,3,0,3,0,0,0,4.8,0,0,0,0,0
Wyatt Austin,0,288,2,2,0,2,0,0,0,2.33,0,0,0,0,0
Wyatt Moulton,0,288,2,2,0,2,0,0,0,4.75,0,0,0,0,0
Tyger Gonzalez Aceves,0,288,2,2,0,2,0,0,0,2.81,0,0,0,0,0
Alex Jenks,0,288,2,3,0,3,0,0,0,2.76,0,0,2,0,0
Dylan Howland,0,288,2,2,0,2,0,0,0,2.75,0,0,0,0,0
Alecio Ferreira da Costa,0,288,2,2,0,2,0,0,0,4.36,0,0,0,0,0
Justin Wilcken,0,288,1,1,0,1,0,0,0,2.75,0,0,0,0,0
Bub Steele,0,288,1,2,0,2,0,0,0,2.27,0,0,0,0,0
Coy Havely,0,288,1,1,0,1,0,0,0,1.94,0,0,0,0,0
