Bib,Name,Country,Gender,Division,Division.Rank,Overall.Time,Overall.Rank,Swim.Time,Swim.Rank,Bike.Time,Bike.Rank,Run.Time,Run.Rank,Finish.Status,Location,Year
2,Melanie Mcquaid,Canada,Female,FPRO,5,574.5333333,21,58.05,57,305.5333333,35,205.75,35,Finisher,Lake Placid,2022
9,Pamela-Ann Bachelder St Pierre,Canada,Female,FPRO,10,610.35,51,65.81666667,253,324.7,94,214.2333333,52,Finisher,Lake Placid,2022
1000,Carley Kenwell,Canada,Female,F35-39,4,660.3166667,126,65.7,249,346.8,214,237.5333333,126,Finisher,Lake Placid,2022
1935,Seanna Robinson,Canada,Female,F45-49,3,665.0333333,131,74.35,727,367.3,415,211.25,45,Finisher,Lake Placid,2022
511,Marie-Christine Lavoie,Canada,Female,F45-49,4,679.3833333,161,77.25,899,344.7166667,199,247,172,Finisher,Lake Placid,2022
1240,Julie Hall├⌐,Canada,Female,F40-44,6,693.15,202,77.61666667,921,377.1166667,540,226.6166667,83,Finisher,Lake Placid,2022
1356,Veronique Proulx,Canada,Female,F30-34,7,693.1666667,203,69.78333333,425,362.1666667,354,251.45,195,Finisher,Lake Placid,2022
1971,Carolyn Steele Gray,Canada,Female,F35-39,8,699.5333333,221,69.2,396,367.8333333,422,248.0333333,182,Finisher,Lake Placid,2022
995,Tanya Philp,Canada,Female,F50-54,1,704.75,240,69.8,427,357.7666667,307,263.0333333,287,Finisher,Lake Placid,2022
1202,Kasha Bonneville,Canada,Female,F25-29,4,704.75,239,64.96666667,219,368.5833333,432,262.45,281,Finisher,Lake Placid,2022
988,Paulette Dalton,Canada,Female,F35-39,11,709.7,258,70.5,465,369.4666667,446,259.6833333,256,Finisher,Lake Placid,2022
1376,Valerie Lalancette,Canada,Female,F45-49,7,711.3666667,266,64.95,217,373.2833333,498,261.0166667,269,Finisher,Lake Placid,2022
510,Carol Swift,Canada,Female,F50-54,4,722.1166667,311,63.68333333,174,382.45,604,264.1666667,298,Finisher,Lake Placid,2022
2115,Mallory Pullman,Canada,Female,F35-39,13,730.6166667,342,69,387,357.45,303,292.65,560,Finisher,Lake Placid,2022
1079,Stephanie Rose,Canada,Female,F50-54,5,732.6166667,351,73.05,636,376.1333333,531,271.55,357,Finisher,Lake Placid,2022
1335,Cindy Mercier,Canada,Female,F45-49,9,734.4666667,360,68.31666667,362,372.0666667,482,282.4666667,475,Finisher,Lake Placid,2022
1866,Delia Chan,Canada,Female,F45-49,10,736.1166667,368,69.8,428,375.4833333,523,277.1666667,411,Finisher,Lake Placid,2022
994,Jessica Mclean,Canada,Female,F35-39,14,739.2666667,377,64.35,197,380.6666667,591,282.1666667,471,Finisher,Lake Placid,2022
1635,Julie Simard,Canada,Female,F45-49,13,750.95,422,81.35,1177,353.6666667,273,299.4166667,649,Finisher,Lake Placid,2022
808,Virginie Barbeau,Canada,Female,F40-44,19,751.6166667,428,72.73333333,620,373.4666667,500,292.4833333,559,Finisher,Lake Placid,2022
2242,Rachel Fernandez,Canada,Female,F40-44,21,758.9666667,466,68.03333333,352,391.3166667,710,271.6666667,358,Finisher,Lake Placid,2022
803,Jane Macleod,Canada,Female,F65-69,1,761.6,482,89.81666667,1665,390.7333333,701,263.6,294,Finisher,Lake Placid,2022
356,Ruth Henshaw,Canada,Female,F45-49,15,764.75,498,86.98333333,1530,382.8666667,610,278.9333333,430,Finisher,Lake Placid,2022
2367,Eleanor Colledge,Canada,Female,F45-49,17,768.8666667,520,75.48333333,803,414.1166667,1039,257.55,237,Finisher,Lake Placid,2022
1241,Vicky Masson,Canada,Female,F45-49,18,771.1333333,533,79.63333333,1072,411.2333333,993,268.4333333,329,Finisher,Lake Placid,2022
1340,Laura Gfeller,Canada,Female,F30-34,17,772.7166667,542,69.65,419,398.5666667,810,289.9833333,534,Finisher,Lake Placid,2022
961,Jyoti Chandra,Canada,Female,F45-49,22,773.85,554,79.66666667,1075,408.7166667,966,261.7833333,275,Finisher,Lake Placid,2022
996,Laurie Depault,Canada,Female,F25-29,14,779.65,592,58.28333333,62,414.2333333,1043,298.15,627,Finisher,Lake Placid,2022
1849,Dawn Pielechaty,Canada,Female,F35-39,21,781.9666667,608,79.45,1061,410.4833333,986,265.4166667,310,Finisher,Lake Placid,2022
302,Isabelle Vachon,Canada,Female,F45-49,26,790.7333333,664,81,1151,403.3166667,879,288.9,521,Finisher,Lake Placid,2022
728,Emy-Lou Wilson,Canada,Female,F40-44,26,799.6666667,714,90.71666667,1695,414.2833333,1044,275.7666667,398,Finisher,Lake Placid,2022
1899,Natasha Baziuk,Canada,Female,F25-29,18,806.9833333,763,74.7,745,437.7166667,1350,272.0666667,364,Finisher,Lake Placid,2022
1602,Stephanie Graddon,Canada,Female,F45-49,34,816.1166667,803,84.46666667,1389,413.6166667,1030,299.5666667,651,Finisher,Lake Placid,2022
1837,Dominique Charron,Canada,Female,F35-39,31,818.55,813,3498,63,432.9,1284,305.85,724,Finisher,Lake Placid,2022
2056,Angela Mcgonigle,Canada,Female,F40-44,39,824.65,849,91.16666667,1711,402.5333333,870,309.0166667,760,Finisher,Lake Placid,2022
1233,Kayla Jones,Canada,Female,F25-29,24,838.2166667,923,78.96666667,1028,433.2666667,1288,305.8166667,723,Finisher,Lake Placid,2022
939,Caroline Guay,Canada,Female,F50-54,16,838.7833333,925,77.18333333,894,448.4333333,1483,297.4166667,620,Finisher,Lake Placid,2022
1024,Elyse Crochetiere,Canada,Female,F40-44,43,841.5333333,938,63.61666667,172,414.4833333,1049,343.15,1139,Finisher,Lake Placid,2022
852,Nina Reid,Canada,Female,F50-54,18,849.3,982,83.56666667,1329,450.1,1497,297.6166667,621,Finisher,Lake Placid,2022
557,Jody Faught,Canada,Female,F45-49,40,851.05,990,81.46666667,1185,430.65,1254,323.9333333,940,Finisher,Lake Placid,2022
1637,Paola Martinez,Canada,Female,F40-44,50,860.3333333,1046,83.53333333,1327,420.6333333,1131,331.3166667,1001,Finisher,Lake Placid,2022
881,Nicole Barrieau,Canada,Female,F50-54,22,861.3833333,1060,84.11666667,1367,421,1135,336.65,1056,Finisher,Lake Placid,2022
1015,Mary Pope,Canada,Female,F45-49,47,864.7166667,1080,96.08333333,1870,419.3,1117,330.1,992,Finisher,Lake Placid,2022
1724,Amy Knibb,Canada,Female,F45-49,49,875.05,1150,65.96666667,261,417.3,1100,375.4833333,1501,Finisher,Lake Placid,2022
1301,Chantale Garneau,Canada,Female,F50-54,27,875.55,1159,98.03333333,1918,451.2,1505,308.8,758,Finisher,Lake Placid,2022
1794,Luce Aita,Canada,Female,F50-54,30,881.8833333,1192,83.06666667,1289,435.6666667,1321,338.6333333,1083,Finisher,Lake Placid,2022
1732,Natalie Parent,Canada,Female,F40-44,65,899.2666667,1281,84.06666667,1362,454.55,1542,338.2333333,1078,Finisher,Lake Placid,2022
1931,Emily Boehmer,Canada,Female,F25-29,28,913.1,1349,69.05,390,457.6,1582,371.8833333,1460,Finisher,Lake Placid,2022
897,Kim Schryburt-Brown,Canada,Female,F45-49,65,913.2833333,1351,82.83333333,1272,435.2833333,1311,371.5166667,1457,Finisher,Lake Placid,2022
554,Wendy Perry,Canada,Female,F40-44,74,913.4166667,1352,79.16666667,1048,479.1333333,1747,327.2833333,969,Finisher,Lake Placid,2022
2051,Elana Macdougall,Canada,Female,F50-54,39,915.75,1356,80.08333333,1093,442.3666667,1406,361.6,1343,Finisher,Lake Placid,2022
1234,Chelsea Jones,Canada,Female,F30-34,42,918.3833333,1369,101.9,1999,476.9166667,1722,315.7833333,832,Finisher,Lake Placid,2022
1248,Lisa Hetherington,Canada,Female,F50-54,42,923.95,1398,91.6,1727,479.9666667,1758,335.4166667,1037,Finisher,Lake Placid,2022
1941,Dianne Chittock,Canada,Female,F35-39,45,939.0333333,1465,72.36666667,590,463.3333333,1621,375.45,1500,Finisher,Lake Placid,2022
551,Krista Simpson,Canada,Female,F25-29,29,951.9833333,1541,80.3,1104,452.7666667,1517,392.6166667,1644,Finisher,Lake Placid,2022
1027,Sarah Purdy,Canada,Female,F40-44,82,954.5666667,1559,85.73333333,1452,469.9166667,1677,380.85,1544,Finisher,Lake Placid,2022
558,Michele Fuller,Canada,Female,F55-59,36,956.8833333,1574,87.36666667,1554,449.7166667,1493,399.7833333,1693,Finisher,Lake Placid,2022
2011,Ashley Roche,Canada,Female,F30-34,50,970.3666667,1636,81.58333333,1195,490.0166667,1819,374.0333333,1485,Finisher,Lake Placid,2022
1943,Nicole Papke,Canada,Female,F50-54,61,975.3666667,1659,95.68333333,1856,503.0333333,1891,347.7333333,1187,Finisher,Lake Placid,2022
2088,Sarah Olfert,Canada,Female,F40-44,87,982.8666667,1680,91.41666667,1720,495.45,1854,374.3,1489,Finisher,Lake Placid,2022
898,Robin Hull,Canada,Female,F40-44,88,984.95,1691,97.16666667,1901,480.1666667,1761,392.0833333,1639,Finisher,Lake Placid,2022
1736,Erin Whitman,Canada,Female,F40-44,91,994.7333333,1729,91.6,1728,483.6333333,1788,393.75,1658,Finisher,Lake Placid,2022
885,Elaine Py Kung,Canada,Female,F45-49,81,994.85,1731,90.53333333,1688,469.4,1670,417.4,1782,Finisher,Lake Placid,2022
1544,Tami Bender,Canada,Female,F45-49,85,1007.816667,1782,105.65,2059,500.5666667,1879,373.5833333,1479,Finisher,Lake Placid,2022