Conference,Rank,Name,Team,Goals
Mountain Pacific Sports Federation,1,Oskar Bannister,Augustana,61
Mountain Pacific Sports Federation,2,Rafael Real Vergara,"University of California, Los Angeles",54
Mountain Pacific Sports Federation,3,Joseph Addison,Augustana,48
Mountain Pacific Sports Federation,3,Max Casabella,"University of California, Berkeley",48
Mountain Pacific Sports Federation,5,Max Miller,University of Southern California,46
Mountain Pacific Sports Federation,6,Ian Palmroos,Augustana,44
Mountain Pacific Sports Federation,7,Jackson Painter,Stanford,42
Mountain Pacific Sports Federation,8,Massimo Di Martire,University of Southern California,40
Mountain Pacific Sports Federation,9,Riley Pittman,Stanford,38
Mountain Pacific Sports Federation,10,Jack Larsen,"University of California, Los Angeles",35
West Coast Conference,1,Tom Leggett,Air Force,114
West Coast Conference,2,Tommaso Baldineti,Loyola Marymount,75
West Coast Conference,3,Cameron Cullen,California Baptist,65
West Coast Conference,4,Zach Fales,Santa Clara,61
West Coast Conference,4,Adam Csapo,Pepperdine,61
West Coast Conference,6,Jack Richards,Air Force,58
West Coast Conference,7,Ryan Brosnan,Pepperdine,57
West Coast Conference,8,Logan Puhl,California Baptist,56
West Coast Conference,8,Abel Romero Corbalan,Loyola Marymount,56
West Coast Conference,10,Bodhi Bowden,California Baptist,55
Mid Atlantic Waterpolo Conference,1,Laszlo Strasser,Wagner,68
Mid Atlantic Waterpolo Conference,2,Owen Bartlett,Johns Hopkins,55
Mid Atlantic Waterpolo Conference,3,Kyle Chambers,Wagner,51
Mid Atlantic Waterpolo Conference,4,Alexandros Bellesis,Mount St. Mary's,43
Mid Atlantic Waterpolo Conference,5,Mattia Bognolo,Wagner,42
Mid Atlantic Waterpolo Conference,5,Viktor Jovanovic,George Washington,42
Mid Atlantic Waterpolo Conference,5,Gavin Brooke,Johns Hopkins,42
Mid Atlantic Waterpolo Conference,8,Andrija Sekulic,George Washington,34
Mid Atlantic Waterpolo Conference,9,Chrysostomos Valavanis,Mount St. Mary's,33
Mid Atlantic Waterpolo Conference,10,Kiefer Black ,Navy,32
Northeast Waterpolo Conference,1,Andrew Miller,Iona,97
Northeast Waterpolo Conference,2,Riyad Shehadeh,Long Island University,95
Northeast Waterpolo Conference,3,Luksa Vlasic,Iona,83
Northeast Waterpolo Conference,4,Josep Jodra Munoz ,Long Island University,66
Northeast Waterpolo Conference,5,Karl Lovett,Long Island University,53
Northeast Waterpolo Conference,6,Trippe Bauman,Iona,45
Northeast Waterpolo Conference,6,James Rozolis-Hill,Harvard,45
Northeast Waterpolo Conference,8,Roko Pozaric,Princeton,37
Northeast Waterpolo Conference,8,George Caras,Princeton,37
Northeast Waterpolo Conference,10,Rastko Jevdjovic,Iona,33
Southern California Intercollegiate Athletic Conference,1,Peter Trinh,La Verne,111
Southern California Intercollegiate Athletic Conference,2,Bram Schork,Caltech,88
Southern California Intercollegiate Athletic Conference,3,Everett Prussak,Chapman,75
Southern California Intercollegiate Athletic Conference,4,Andrew Higginson,Redlands,66
Southern California Intercollegiate Athletic Conference,5,Jordan Baker,La Verne,65
Southern California Intercollegiate Athletic Conference,6,Dean Moody,Redlands,61
Southern California Intercollegiate Athletic Conference,7,Christian Guillaume,Occidental,58
Southern California Intercollegiate Athletic Conference,8,Brody Haney,Whittier,57
Southern California Intercollegiate Athletic Conference,9,Cristian Pang,Claremont-Mudd-Scripts,53
Southern California Intercollegiate Athletic Conference,10,Nate Randolph,Chapman,51
Western Waterpolo Association,1,Nikola Krstonosic,Salem University,130
Western Waterpolo Association,2,Marko Zivojinovic,Salem University,103
Western Waterpolo Association,3,Alexandros Kotskar,Gannon University,99
Western Waterpolo Association,4,Ivan Zivojinovic,Salem University,89
Western Waterpolo Association,5,Maxwell Osborn,Biola University,76
Western Waterpolo Association,6,Breno Tebet,Mckendree University,70
Western Waterpolo Association,6,Roman Saroyan,Biola University,70
Western Waterpolo Association,8,Harry Bentham,Concordia University,61
Western Waterpolo Association,9,Forrest Gray,Fresno Pacific University,59
Western Waterpolo Association,10,William Green,Fresno Pacific University,57
Big West,1,Robert Lopez Duart,Long Beach State University,87
Big West,2,Dash McFarland,"University of California, Santa Barbara",82
Big West,3,Adam Gyenis,"University of California, Santa Barbara",64
Big West,4,Evan Cain,Long Beach State University,60
Big West,5,Bennett Axline,"University of California, San Diego",59
Big West,6,Togan Ozbek,"California State University, Fullerton",58
Big West,7,Julian Nichols,"California State University, Fullerton",55
Big West,8,Landon Akerstrom,"University of California, San Diego",50
Big West,8,Johann Thrall,"University of California, Irvine",50
Big West,10,Aleix Aznar Beltran,"University of California, Davis",48