pitch_type,count,release_speed,description
FF,1-2,95.2,ball
FF,1-1,93.5,called_strike
CU,0-1,78.3,ball
FF,0-0,94.3,foul
CU,1-2,80.8,swinging_strike
CU,1-1,79.7,called_strike
FF,1-0,95.7,foul_tip
FF,0-0,95.2,ball
FF,1-2,95.1,swinging_strike
FF,1-1,96,swinging_strike
FF,1-0,95.2,foul
FF,0-0,95.3,ball
CU,0-2,80.8,swinging_strike_blocked
SL,0-2,88.4,foul
SL,0-2,88.4,foul
SL,0-2,88.4,foul
FF,0-2,96.1,foul
FF,0-1,95.2,called_strike
FF,0-0,95.1,foul
CH,3-1,86,hit_into_play
FF,2-1,93.6,ball
FF,2-0,93.8,called_strike
FF,1-0,94.6,ball
CU,0-0,77,ball
FF,3-2,94.9,hit_into_play
FF,3-2,94.1,foul
SL,3-2,87.6,foul
SL,2-2,87.6,ball
SL,1-2,87.6,ball
SL,1-1,87.1,swinging_strike
FF,1-0,94,called_strike
FF,0-0,93.8,ball
CU,1-2,79.4,hit_into_play
CU,1-2,80.7,foul
SL,1-2,90.4,foul
SL,1-2,90,foul
CU,1-1,79.5,called_strike
CU,1-0,78,called_strike
CU,0-0,77.9,ball
FF,2-2,95.7,hit_into_play
FF,2-2,95.7,foul
SL,1-2,88.7,ball
SL,0-2,87.7,ball
FF,0-1,95.1,foul
CU,0-0,79.3,called_strike
FF,3-2,95.8,swinging_strike
FF,2-2,95,ball
FF,1-2,95.2,ball
FF,0-2,94.6,ball
CU,0-1,78.8,swinging_strike
CU,0-0,76.9,called_strike
FF,0-2,95.3,hit_into_play
FF,0-1,95.5,called_strike
FF,0-0,95.5,foul
FF,1-2,95.5,swinging_strike
CU,1-2,80.2,foul
SL,0-2,87.8,ball
FF,0-1,94.3,swinging_strike
SL,0-0,86.7,called_strike
CU,1-2,79.8,swinging_strike
FF,1-1,94.3,foul
FF,1-0,94.1,swinging_strike
FF,0-0,94.4,ball
FF,3-2,97.6,hit_into_play
SL,3-2,88.7,foul
SL,2-2,89.8,ball
SL,1-2,88.8,ball
CU,1-2,80.8,foul
SL,1-1,88.7,foul
SL,0-1,87.9,ball
CU,0-0,79.3,called_strike
FF,1-0,96.1,hit_into_play
FF,0-0,96,ball
FF,3-2,96.1,hit_into_play
FF,2-2,95.6,ball
FF,2-1,95.9,foul
FF,2-0,95.2,called_strike
FF,1-0,94.8,ball
FF,0-0,94.9,ball
FF,2-0,96.1,hit_into_play
CU,1-0,78.7,ball
FF,0-0,95,ball
SL,1-2,86.9,swinging_strike
SL,0-2,87,ball
FF,0-1,96.1,swinging_strike
CU,0-0,79.5,called_strike
FF,3-2,95.2,called_strike
CU,2-2,79.7,ball
FF,2-1,94.5,foul
FF,1-1,94.8,ball
FF,1-0,92.9,swinging_strike
FF,0-0,93.6,ball
FF,2-2,95.7,foul_tip
CU,2-1,79.1,foul
SL,2-0,86.5,foul
SL,1-0,88.4,ball
CU,0-0,78.9,ball
FF,1-2,95.7,called_strike
FF,0-2,96.4,ball
CU,0-2,80.8,foul
CU,0-1,79.4,foul
CU,0-0,79,called_strike
CU,1-2,80.6,swinging_strike
FF,1-1,95.7,foul
FF,0-1,95,ball
FF,0-0,95.4,swinging_strike
FF,0-2,95.7,hit_into_play
SL,0-2,87.1,foul
FF,0-1,95.6,foul
SL,0-0,87.6,called_strike
FF,3-2,96.6,swinging_strike
SL,3-1,87.3,foul
CU,2-1,79.1,ball
SL,2-0,88.1,called_strike
CU,1-0,78.7,ball
CU,0-0,78.2,ball
SL,1-2,88.2,called_strike
SL,1-1,87.6,called_strike
FF,1-0,94.4,foul
CU,0-0,79.9,ball
SL,0-2,88.3,hit_into_play
CU,0-1,80.1,foul
FF,0-0,95,foul
SL,0-2,89,hit_into_play
FF,0-2,98.2,foul
FF,0-1,97.8,foul
SL,0-0,89.3,swinging_strike
FF,2-2,98.5,swinging_strike
FF,2-1,96.3,foul
SL,1-1,89.7,ball
FF,0-1,97.1,ball
FF,0-0,97.2,foul
SL,1-2,87.1,hit_into_play
SL,0-2,87.5,blocked_ball
SL,0-1,87.9,foul
CU,0-0,79.3,called_strike
FF,3-2,95.7,ball
FF,2-2,95.2,ball
FF,1-2,95.5,ball
FF,1-1,95.1,swinging_strike
FF,0-1,94,ball
CU,0-0,78.2,foul
FF,0-0,93.9,hit_into_play
FF,1-1,95,hit_into_play
FF,1-0,93.3,foul
FF,0-0,93.5,ball
FF,2-1,95.2,hit_into_play
CU,1-1,78.6,ball
CU,0-1,78.9,ball
FF,0-0,94.6,foul
FF,1-2,96.5,hit_into_play
FF,1-1,95.4,foul
FF,0-1,95.1,ball
CU,0-0,78.2,called_strike
CU,1-1,79.7,hit_into_play
CU,1-0,78.2,foul
SL,0-0,87.2,ball
FF,0-0,95,hit_into_play
FF,0-1,95.3,hit_into_play
SL,0-0,86.8,called_strike
SL,1-2,88,swinging_strike_blocked
SL,0-2,86.9,ball
FF,0-1,95.9,foul
FF,0-0,94.4,called_strike
SL,2-2,88.4,swinging_strike
FF,2-2,96.6,foul
SL,1-2,87.8,ball
FF,0-2,96.5,ball
FF,0-1,96,swinging_strike
FF,0-0,95.3,swinging_strike
FF,2-2,96.5,hit_into_play
SL,1-2,87.1,ball
FF,1-1,96.6,foul
FF,0-1,96.4,ball
FF,0-0,96.2,called_strike
FF,2-2,96.5,hit_into_play
SL,1-2,87,ball
SL,1-2,87.1,foul
CU,0-2,80.7,ball
FF,0-1,95.4,foul
FF,0-0,94.4,called_strike
CH,2-2,86.8,hit_into_play
CH,1-2,86.9,ball
FF,0-2,97,ball
FF,0-1,95.9,foul
FF,0-0,95.8,swinging_strike
SL,0-1,87.6,hit_into_play
SL,0-0,87.3,swinging_strike
FF,1-0,94.5,hit_into_play
CU,0-0,79.2,ball
FF,1-2,94.8,hit_into_play
CH,0-2,88.3,ball
FF,0-1,95.4,called_strike
FF,0-0,94.6,called_strike
SL,1-2,88.5,hit_into_play
SL,0-2,90.2,blocked_ball
FF,0-1,95.6,foul
SL,0-0,88,foul
FF,0-0,97.1,hit_into_play
CU,0-0,80.5,hit_into_play
FF,1-1,97.1,hit_into_play
FF,1-0,97.6,foul
FF,0-0,96.9,ball
SL,3-2,87.8,swinging_strike
SL,2-2,90.4,ball
SL,1-2,89.8,blocked_ball
FF,1-1,96.7,foul
SL,0-1,87.1,blocked_ball
SL,0-0,86.9,swinging_strike
CU,1-2,82,hit_into_play
CU,1-1,78.7,foul
CU,0-1,77.1,ball
FF,0-0,94.9,called_strike
SL,1-2,86.5,hit_into_play
CU,1-2,80.5,foul
FF,1-2,97,foul
FF,1-1,95.7,foul
FF,1-0,95.2,called_strike
FF,0-0,94,ball
CU,1-0,78.6,hit_into_play
FF,0-0,93.6,ball
FF,0-0,95,hit_into_play
SL,1-2,87.3,hit_into_play
SL,0-2,88.1,ball
FF,0-1,95.9,foul
FF,0-0,94.9,foul
SL,3-2,87.1,hit_into_play
FF,2-2,95.4,ball
SL,1-2,87.8,ball
SL,0-2,86.6,ball
FF,0-1,94.2,foul
CU,0-0,79.5,foul
FF,2-2,95.8,hit_into_play
CU,1-2,80.2,blocked_ball
FF,0-2,96.1,ball
FF,0-1,94.7,foul
FF,0-0,94.3,swinging_strike
CU,2-2,79.9,hit_into_play
CU,1-2,80.8,blocked_ball
CU,1-2,79.8,foul
CU,1-2,79.5,foul
FF,1-2,95.1,foul
FF,1-1,94.6,swinging_strike
FF,0-1,93.8,ball
CU,0-0,78.8,foul
FF,0-0,92.6,hit_into_play
CU,1-2,79.3,swinging_strike_blocked
CU,1-1,79.5,foul
FF,0-1,94.4,ball
FF,0-0,94.6,called_strike
FF,0-1,94.7,hit_into_play
CU,0-0,77.5,called_strike
FF,0-0,93.4,hit_into_play
CU,1-2,80,swinging_strike
SL,0-2,86.7,ball
CU,0-1,80.6,called_strike
CU,0-0,78.5,called_strike
SL,0-2,89.4,swinging_strike
SL,0-1,88.3,swinging_strike
FF,0-0,94.6,swinging_strike
FF,3-2,96.4,hit_into_play
FF,2-2,95.8,ball
FF,2-1,95.4,foul_tip
FF,2-0,94.7,foul_tip
FF,1-0,94.8,ball
FF,0-0,95.2,ball
SL,2-2,88.3,hit_into_play
SL,1-2,87.5,blocked_ball
FF,1-2,95.7,foul
FF,1-1,94.8,swinging_strike
FF,1-0,95,swinging_strike
FF,0-0,93,ball
CU,0-1,79.2,hit_into_play
FF,0-0,94.1,swinging_strike
SL,2-2,87.8,swinging_strike
CU,1-2,80.4,blocked_ball
FF,1-1,93,foul
FF,1-0,94.4,called_strike
FF,0-0,94,ball
SL,0-0,87.2,hit_into_play
SL,0-1,86.9,hit_into_play
CU,0-0,79.5,called_strike
SL,1-2,86.6,swinging_strike_blocked
CU,0-2,81.2,ball
CU,0-1,78.3,foul
FF,0-0,93.4,called_strike
CH,1-1,87.5,hit_into_play
FF,1-0,94.7,foul
CU,0-0,77.4,ball
SL,0-1,87.9,hit_into_play
SL,0-0,87.6,foul
SL,2-2,85.7,swinging_strike
FF,1-2,95.5,ball
FF,1-1,95.2,swinging_strike
FF,1-0,92.6,called_strike
FF,0-0,93.9,ball
FF,0-0,95.9,hit_into_play
CU,1-2,81.7,swinging_strike_blocked
CU,1-2,80.8,foul
CU,0-2,81.1,blocked_ball
FF,0-2,96.3,foul
FF,0-2,95.9,foul
FF,0-2,95.6,foul
CU,0-1,80.5,foul
FF,0-0,94.8,foul
FF,3-2,96,ball
SL,3-2,88.7,foul
SL,2-2,88.4,ball
SL,1-2,88.1,ball
FF,1-1,94.7,foul
FF,1-0,94.3,called_strike
FF,0-0,94.8,ball
CH,1-0,85.8,hit_into_play
CH,0-0,85.9,ball
FF,1-2,96.1,hit_into_play
FF,1-1,94.7,foul
FF,1-0,93.9,called_strike
FF,0-0,94.9,ball
CU,3-2,80,hit_into_play
FF,2-2,96.6,ball
CH,1-2,86.5,ball
SL,1-1,86.1,foul
CU,1-0,79.1,called_strike
FF,0-0,94.4,ball
FF,2-0,94.8,hit_into_play
SL,1-0,87.1,ball
SL,0-0,87.4,ball
CH,1-2,87.2,hit_into_play
CU,1-1,78.9,swinging_strike
FF,1-0,94.9,foul
FF,0-0,93.5,ball
CU,2-2,79.3,hit_into_play
CU,1-2,80.5,ball
FF,1-1,93.7,foul
FF,1-0,93.6,foul
FF,0-0,94.5,ball
SL,0-0,87.3,hit_into_play
CU,1-2,80.9,called_strike
SL,1-2,87.6,foul
SL,0-2,86.9,ball
SL,0-1,86.4,swinging_strike
SL,0-0,86.4,foul
FF,2-2,95.8,hit_into_play
SL,1-2,86.8,ball
CU,1-2,79.6,foul
FF,1-1,94.7,foul
FF,1-0,93.9,called_strike
FF,0-0,93.2,ball
CU,0-2,79.9,hit_into_play
FF,0-2,95.7,foul
FF,0-2,95.9,foul
FF,0-1,95.6,swinging_strike
FF,0-0,95.4,called_strike
FF,2-2,97.1,hit_into_play
CH,2-1,86.4,swinging_strike
CU,1-1,79.5,ball
SL,0-1,87.6,ball
CU,0-0,79,called_strike
CU,2-2,79.7,hit_into_play
SL,1-2,88.2,ball
SL,0-2,87.5,ball
CU,0-1,78.8,called_strike
FF,0-0,95,foul
SL,2-2,85.8,called_strike
SL,1-2,86.8,ball
FF,1-2,95.5,foul
SL,0-2,87.2,ball
CU,0-1,79.4,foul
FF,0-0,94.1,foul
FF,2-2,96.1,hit_into_play
FF,2-1,94.4,foul
FF,1-1,94.1,ball
FF,1-0,93.5,foul
FF,0-0,93.6,ball
FF,1-0,95.4,hit_into_play
FF,0-0,94.5,ball
FF,3-2,96.2,ball
FF,3-2,95.2,foul
SL,3-2,88.1,foul
FF,3-1,94.8,called_strike
FF,3-0,93,called_strike
FF,2-0,94.9,ball
SL,1-0,85.9,ball
SL,0-0,86.5,ball
FF,2-2,96.5,swinging_strike
FF,2-2,96.2,foul
CU,2-2,79.2,foul
SL,1-2,87.3,ball
CU,1-1,79.6,called_strike
CU,0-1,80.4,ball
CU,0-0,78.2,called_strike
FF,0-2,95,swinging_strike
FF,0-1,94.6,swinging_strike
CU,0-0,77,called_strike
FF,0-0,94.5,hit_into_play
FF,2-2,95.6,hit_into_play
SL,2-2,87.7,foul
SL,2-2,88.4,foul
FF,1-2,95.2,ball
CU,1-1,77.7,called_strike
FF,1-0,94.9,foul
FF,0-0,94,ball
CU,2-1,78.1,hit_into_play
CU,1-1,78.3,ball
SL,1-0,87.7,called_strike
FF,0-0,94.4,ball
FF,2-0,94.3,hit_into_play
FF,1-0,95.1,ball
FF,0-0,94.2,ball
CU,1-2,79.2,called_strike
SL,1-2,87.6,foul
FF,1-1,94.7,foul
FF,0-1,95.3,ball
FF,0-0,94.1,called_strike
SL,0-0,85.8,hit_into_play
SL,1-2,86.6,hit_into_play
SL,1-1,84.6,swinging_strike
SL,0-1,84.3,blocked_ball
CU,0-0,78,called_strike
FF,3-1,93.8,hit_into_play
SL,2-1,85.7,ball
SL,1-1,85.5,ball
FF,1-0,93.3,foul
FF,0-0,91.7,ball
FF,1-0,91.9,hit_into_play
FF,0-0,91.6,ball
FF,1-1,95,hit_into_play
FF,1-0,95,called_strike
FF,0-0,94.6,ball
SL,0-1,85.4,hit_into_play
FF,0-0,94.4,called_strike
SL,0-2,87.6,swinging_strike
SL,0-1,86,foul
CU,0-0,76.5,foul
SL,2-2,86.3,swinging_strike
FF,2-1,96.1,foul
FF,2-0,94.2,foul
SL,1-0,85.7,ball
FF,0-0,94.7,ball
CU,0-1,79.5,hit_into_play
FF,0-0,93.3,swinging_strike
SL,0-1,88,hit_into_play
SL,0-0,87.2,swinging_strike
SL,1-2,86.9,hit_into_play
FF,1-1,94.1,swinging_strike
FF,1-0,92.4,called_strike
SL,0-0,83.5,ball
FF,1-2,95.6,swinging_strike
CU,1-2,80.5,foul
FF,1-2,94.9,foul
FF,0-2,95.3,ball
SL,0-2,87,foul
CU,0-1,79.5,foul
SL,0-0,85.1,swinging_strike
CH,0-0,86,hit_into_play
SL,1-1,87,hit_into_play
CH,1-0,85.4,called_strike
CH,0-0,85.6,ball
SL,1-1,85.9,hit_into_play
CH,0-1,84.3,ball
FF,0-0,93.2,called_strike
SL,2-2,87.3,swinging_strike
FF,2-1,95,swinging_strike
FF,1-1,95,ball
FF,1-0,95.1,called_strike
FF,0-0,94.1,ball
FF,1-2,95,hit_into_play
CH,1-2,86.6,foul
SL,1-2,88.3,foul
SL,1-2,86,foul
FF,1-1,94,foul
FF,0-1,93.3,ball
SL,0-0,85.1,called_strike
CU,0-1,78.8,hit_into_play
CU,0-0,76.2,called_strike
FF,2-2,96.2,hit_into_play
SL,1-2,88.3,ball
SL,1-1,87.5,swinging_strike
FF,0-1,94.5,ball
FF,0-0,95.1,called_strike
FF,3-1,93.9,ball
FF,3-0,93.8,called_strike
FF,2-0,93.8,ball
SL,1-0,86.2,ball
FF,0-0,94.5,ball
CU,0-1,80.1,hit_into_play
SL,0-0,86.6,called_strike
SL,1-2,88.7,swinging_strike
FF,0-2,94.9,ball
FF,0-1,94.1,foul
SL,0-0,84.8,foul
FF,0-0,95.6,hit_into_play
FF,2-0,94.1,hit_into_play
FF,1-0,94.4,ball
FF,0-0,94.7,ball
FF,1-2,95,hit_into_play
FF,1-1,94,foul
SL,1-0,85.4,called_strike
FF,0-0,93.6,ball
FF,2-1,95.3,swinging_strike
FF,1-1,95.1,ball
CU,1-0,78.3,called_strike
FF,0-0,93.7,ball
FF,1-0,93.8,hit_into_play
FF,0-0,93.7,ball
FF,1-0,93.8,hit_into_play
FF,0-0,92.7,ball
FF,0-0,94,hit_into_play
FF,1-2,97.4,foul_tip
FF,0-2,98.2,ball
FF,0-1,96.9,called_strike
FF,0-0,96.5,swinging_strike
CH,3-2,86.6,blocked_ball
FF,2-2,99.3,ball
SL,1-2,88.8,ball
SL,1-1,88.7,swinging_strike
FF,1-0,98.5,swinging_strike
SL,0-0,88.1,blocked_ball
FF,2-2,99.2,swinging_strike
CU,2-2,81.4,foul
FF,2-2,99.2,foul
FF,2-2,99.3,foul
FF,2-1,97.7,swinging_strike
FF,1-1,98.4,ball
FF,0-1,98.4,ball
FF,0-0,97.2,foul
CU,0-1,79.7,hit_into_play
CU,0-0,80.1,called_strike
FF,3-2,97.3,ball
FF,2-2,97.7,ball
SL,2-2,87.6,foul
CU,1-2,82.2,ball
FF,0-2,98.6,ball
FF,0-1,96.9,swinging_strike
SL,0-0,87.5,foul
CU,1-2,82,hit_into_play
CU,1-1,78.6,foul
SL,0-1,86.6,ball
SL,0-0,86.3,called_strike
FF,0-0,94.7,hit_into_play
FF,1-0,96.7,hit_into_play
FF,0-0,96.1,ball
FF,2-0,96,hit_into_play
CH,1-0,86.9,ball
CH,0-0,86.2,ball
FF,1-2,97.4,swinging_strike
SL,1-2,87.5,foul
FF,0-2,96.9,ball
CU,0-2,82.2,foul
FF,0-1,95.4,foul
FF,0-0,95.1,foul
FF,1-2,97.3,swinging_strike
FF,1-1,95.8,foul
FF,1-0,96.3,swinging_strike
CU,0-0,78.7,ball
SL,2-2,86.4,called_strike
SL,2-1,85,called_strike
FF,2-0,95.1,foul
FF,1-0,95.8,ball
FF,0-0,95.4,ball
FF,1-0,94.9,hit_into_play
FF,0-0,95.1,ball
FF,2-2,97.1,swinging_strike
FF,1-2,97.2,ball
FF,0-2,96.5,ball
CU,0-1,79.9,foul
CU,0-0,79.3,called_strike
CU,1-2,80.5,hit_into_play
SL,0-2,87.5,ball
CU,0-1,80.2,foul
FF,0-0,95.1,foul
FF,1-0,94.9,hit_into_play
FF,0-0,94.7,ball
FF,1-1,95.1,hit_into_play
CU,0-1,81.2,ball
FF,0-0,95.1,foul
SL,1-2,87.5,hit_into_play
FF,1-1,96,foul
CH,0-1,86.1,ball
CU,0-0,79.3,foul
SL,0-2,86.3,called_strike
CU,0-1,78.4,foul
FF,0-0,94.8,foul
CU,2-2,80,called_strike
SL,2-1,88,foul
FF,2-0,95.4,foul
SL,1-0,86,ball
FF,0-0,95.4,ball
SL,0-0,86.6,hit_into_play
FF,0-0,95.3,hit_into_play
SL,3-2,86.6,swinging_strike
FF,3-1,94.7,foul
FF,2-1,96.3,ball
FF,2-0,95.4,swinging_strike
FF,1-0,95.3,ball
SL,0-0,85.3,ball
CU,0-0,79.1,hit_into_play
FF,0-2,96.1,hit_into_play
FF,0-1,96,swinging_strike
CU,0-0,78.2,called_strike
SL,2-2,87.7,hit_into_play
SL,2-2,88.2,foul
FF,1-2,96.9,ball
FF,1-2,95.2,foul
FF,0-2,95.5,ball
FF,0-1,94.9,foul
FF,0-0,94.8,foul
FF,1-0,93.4,hit_into_play
FF,0-0,93.4,ball
CH,3-2,86.9,swinging_strike
CH,3-2,87.1,foul
FF,3-1,95.5,foul
CH,2-1,85.3,ball
CH,2-0,86.1,swinging_strike
CH,1-0,85.2,ball
CU,0-0,79.2,ball
CH,1-2,86.7,swinging_strike
CU,0-2,80.9,ball
SL,0-1,87.8,swinging_strike
FF,0-0,95.5,foul
SL,2-2,87.9,swinging_strike
SL,1-2,87.5,ball
SL,1-2,87.2,foul
CU,1-1,79.1,foul
FF,0-1,96.1,ball
SL,0-0,87.1,foul
SL,3-2,88.7,hit_into_play
FF,3-1,98.3,foul
CU,2-1,81.2,ball
FF,1-1,99,ball
CU,1-0,79.8,called_strike
CU,0-0,79.1,ball
FF,0-1,96,hit_into_play
SL,0-0,87,called_strike
FF,1-1,95.3,hit_into_play
CU,0-1,79,ball
FF,0-0,95.5,foul
SL,2-2,87.5,hit_into_play
FF,1-2,96.6,ball
FF,0-2,95.6,ball
SL,0-2,87.5,foul
FF,0-1,95.4,swinging_strike
FF,0-0,95.2,swinging_strike
CU,0-1,81.9,hit_into_play
FF,0-0,97.6,called_strike
FF,3-2,97.4,called_strike
CU,2-2,81.2,ball
CU,2-2,81,foul
SL,2-2,86.9,foul
CU,2-2,79.8,foul
CU,2-1,79.2,swinging_strike
CU,1-1,79.7,ball
SL,0-1,87.7,ball
SL,0-0,87.9,called_strike
SL,0-2,89,hit_into_play
CU,0-1,81.2,swinging_strike
FF,0-0,96,swinging_strike
CU,2-1,77.9,hit_into_play
FF,2-0,95.2,foul
SL,1-0,86.2,ball
CU,0-0,78,ball
SL,1-2,88.9,swinging_strike
CU,1-1,81.8,swinging_strike
CU,1-0,79.5,swinging_strike
FF,0-0,96.7,ball
FF,1-1,96.8,hit_into_play
FF,0-1,96.7,ball
FF,0-0,95.7,called_strike
FF,1-1,95.8,hit_into_play
FF,1-0,95.2,foul
FF,0-0,95.8,ball
SL,1-2,87.7,called_strike
FF,1-1,94.8,foul
FF,1-0,93.3,called_strike
FF,0-0,94.2,ball
SL,3-2,88.6,swinging_strike
SL,3-1,88.9,swinging_strike
FF,2-1,96.7,ball
FF,1-1,97.6,ball
SL,0-1,87.8,ball
SL,0-0,87.9,swinging_strike
CU,2-2,79.3,called_strike
SL,1-2,87.8,ball
SL,0-2,88.5,blocked_ball
CU,0-1,79.3,called_strike
FF,0-0,94.7,foul
FF,0-2,96.4,hit_into_play
CU,0-1,79.1,foul
FF,0-0,94.9,called_strike
FF,2-0,95,hit_into_play
FF,1-0,95.5,ball
FF,0-0,94.9,ball
CH,1-2,88.7,foul_tip
CH,0-2,87.8,ball
FF,0-1,95.3,foul
CU,0-0,79.4,called_strike
FF,2-2,96.2,hit_into_play
FF,1-2,96.6,ball
SL,1-2,87.5,foul
CU,1-1,78.8,foul
SL,1-0,88.3,foul
SL,0-0,87.6,ball
SL,0-2,88.7,swinging_strike
SL,0-1,88.6,swinging_strike
CU,0-0,78.3,called_strike
SL,2-2,88.4,hit_into_play
SL,2-2,86.4,foul
FF,2-2,96.4,foul
SL,2-2,87.2,foul
SL,1-2,87.5,ball
FF,1-2,96.4,foul
FF,1-2,96.3,foul
FF,0-2,95.6,ball
FF,0-1,95.8,called_strike
FF,0-0,95.7,foul
CU,2-2,80.8,hit_into_play
CU,1-2,80,blocked_ball
CU,1-1,81,called_strike
CU,0-1,82.1,blocked_ball
FF,0-0,97.8,foul
CU,0-2,80.7,hit_into_play
FF,0-2,95.5,foul
CU,0-2,81.6,foul
CU,0-1,79.8,foul
CU,0-0,78.3,called_strike
FF,3-0,94.3,ball
FF,2-0,95.4,ball
FF,1-0,94.8,ball
CU,0-0,77.6,ball
SL,1-1,87.5,hit_into_play
FF,1-0,94.2,swinging_strike
FF,0-0,94.4,ball
SL,2-1,86.6,hit_into_play
FF,1-1,94.6,ball
CU,1-0,79.3,called_strike
CU,0-0,77.6,ball
CU,1-2,81.1,swinging_strike_blocked
SL,1-1,89,foul
CU,0-1,79,ball
FF,0-0,94.1,called_strike
FF,2-2,96.9,hit_into_play
CU,2-1,77.8,swinging_strike
CU,1-1,78.8,ball
SL,1-0,85.4,foul
CH,0-0,86.3,ball
CU,1-2,80.2,foul_tip
